"Year"	"LAName"	"LACode"	"Advanced Conversion Technologies"	"Anaerobic Digestion"	"Biomass (dedicated)"	"EfW Incineration"	"Landfill Gas"	"Large Hydro"	"Shoreline wave / tidal"	"Small Hydro"	"Solar Photovoltaics"	"Wind Offshore"	"Wind Onshore"	"Total"
2005	"Argyll and Bute"	"S12000035"	0	0	0	0	0	14	0	6.6	0	0	114.7	135.3
2005	"City of Edinburgh"	"S12000036"	0	0	0	0	2.4	0	0	0	0	0	0	2.4
2005	"Clackmannanshire"	"S12000005"	0	0	0	0	0	0	0	0	0	0	0	0
2005	"Dumfries and Galloway"	"S12000006"	0	0	0	0	0	0	0	0	0	0	41.1	41.1
2005	"Dundee City"	"S12000042"	0	0	0	8.3	0	0	0	0	0	0	0	8.3
2005	"East Ayrshire"	"S12000008"	0	0	0	0	6.7	0	0	0	0	0	13.2	19.9
2005	"East Dunbartonshire"	"S12000045"	0	0	0	0	0	0	0	0	0	0	0	0
2005	"East Lothian"	"S12000010"	0	0	0	0	16.2	0	0	0	0	0	0	16.2
2005	"East Renfrewshire"	"S12000011"	0	0	0	0	0	0	0	0	0	0	6.5	6.5
2005	"Falkirk"	"S12000014"	0	0	0	0	0	0	0	0	0	0	0	0
2005	"Fife"	"S12000047"	0	0	12.5	0	0	0	0	0	0	0	0	12.5
2005	"Glasgow City"	"S12000049"	0	0	0	0	6.7	0	0	0	0	0	0	6.7
2005	"Highland"	"S12000017"	0	0	0	0	0	268.7	0	26.2	0	0	216.6	511.5
2005	"Inverclyde"	"S12000018"	0	0	0	0	0	0	0	0	0	0	0	0
2005	"Midlothian"	"S12000019"	0	0	0	0	4.2	0	0	0	0	0	48.4	52.6
2005	"Moray"	"S12000020"	0	0	0	0	0	0	0	0	0	0	0	0
2005	"Na h-Eileanan Siar"	"S12000013"	0	0	0	0	0	0	0	0	0	0	0	0
2005	"North Ayrshire"	"S12000021"	0	0	0	0	1.2	0	0	0	0	0	24	25.2
2005	"North Lanarkshire"	"S12000050"	0	0	0	0	14.5	0	0	0	0	0	0	14.5
2005	"Offshore"	NA	0	0	0	0	0	0	0	0	0	0	174.6	174.6
2005	"Orkney Islands"	"S12000023"	0	0	0	0	0	0	0	0	0	0	9.2	9.2
2005	"Perth and Kinross"	"S12000048"	0	0	0	0	1.9	32.4	0	15.1	0	0	0	49.4
2005	"Renfrewshire"	"S12000038"	0	0	0	0	0	0	0	0	0	0	0	0
2005	"Scottish Borders"	"S12000026"	0	0	0	0	0	0	0	0	0	0	92.5	92.5
2005	"Shetland Islands"	"S12000027"	0	0	0	0	0	0	0	0	0	0	3.7	3.7
2005	"South Ayrshire"	"S12000028"	0	0	0	0	0	0	0	0	0	0	0	0
2005	"South Lanarkshire"	"S12000029"	0	0	0	0	0	0	0	0	0	0	15.6	15.6
2005	"Stirling"	"S12000030"	0	0	0	0	0	0	0	0	0	0	0	0
2005	"West Dunbartonshire"	"S12000039"	0	0	0	0	4.1	0	0	0	0	0	0	4.1
2005	"West Lothian"	"S12000040"	0	0	0	0	0	0	0	0	0	0	0	0
2006	"Aberdeen City"	"S12000033"	0	0	0	0	2.2	0	0	0	0	0	0	2.2
2006	"Aberdeenshire"	"S12000034"	0	0	0	0	6.5	0	0	0	0	0	45.2	51.7
2006	"Angus"	"S12000041"	0	0	0	0	2	0	0	0	0	0	0	2
2006	"Argyll and Bute"	"S12000035"	0	0	0	0	0	14	0	6.6	0	0	114.7	135.3
2006	"City of Edinburgh"	"S12000036"	0	0	0	0	2.4	0	0	0	0	0	0	2.4
2006	"Clackmannanshire"	"S12000005"	0	0	0	0	0	0	0	0	0	0	0	0
2006	"Dumfries and Galloway"	"S12000006"	0	0	0	0	0	0	0	0	0	0	41.1	41.1
2006	"Dundee City"	"S12000042"	0	0	0	8.3	0	0	0	0	0	0	4	12.3
2006	"East Ayrshire"	"S12000008"	0	0	0	0	6.7	0	0	0	0	0	13.2	19.9
2006	"East Dunbartonshire"	"S12000045"	0	0	0	0	0	0	0	0	0	0	0	0
2006	"East Lothian"	"S12000010"	0	0	0	0	16.2	0	0	0	0	0	0	16.2
2006	"East Renfrewshire"	"S12000011"	0	0	0	0	0	0	0	0	0	0	6.5	6.5
2006	"Falkirk"	"S12000014"	0	0	0	0	0	0	0	0	0	0	0	0
2006	"Fife"	"S12000047"	0	0	12.5	0	2	0	0	0	0	0	0	14.5
2006	"Glasgow City"	"S12000049"	0	0	0	0	6.7	0	0	0	0	0	0	6.7
2006	"Highland"	"S12000017"	0	0	0	0	0	276.2	0	26.2	0	0	216.6	519
2006	"Inverclyde"	"S12000018"	0	0	0	0	0	0	0	0	0	0	0	0
2006	"Midlothian"	"S12000019"	0	0	0	0	6.2	0	0	0	0	0	48.4	54.6
2006	"Moray"	"S12000020"	0	0	0	0	0	0	0	0	0	0	0	0
2006	"Na h-Eileanan Siar"	"S12000013"	0	0	0	0	0	0	0	0	0	0	3.9	3.9
2006	"North Ayrshire"	"S12000021"	0	0	0	0	1.2	0	0	0	0	0	42	43.2
2006	"North Lanarkshire"	"S12000050"	0	0	0	0	18.5	0	0	0	0	0	0	18.5
2006	"Offshore"	NA	0	0	0	0	0	0	0	0	0	0	359.6	359.6
2006	"Orkney Islands"	"S12000023"	0	0	0	0	0	0	0	0	0	0	14.2	14.2
2006	"Perth and Kinross"	"S12000048"	0	0	0	0	1.9	32.4	0	15.1	0	0	0	49.4
2006	"Renfrewshire"	"S12000038"	0	0	0	0	0	0	0	0	0	0	0	0
2006	"Scottish Borders"	"S12000026"	0	0	0	0	0	0	0	0	0	0	92.5	92.5
2006	"Shetland Islands"	"S12000027"	0	0	0	0	0	0	0	0	0	0	3.7	3.7
2006	"South Ayrshire"	"S12000028"	0	0	0	0	0	0	0	0	0	0	0	0
2006	"South Lanarkshire"	"S12000029"	0	0	0	0	7.4	0	0	0	0	0	15.6	23
2006	"Stirling"	"S12000030"	0	0	0	0	0	0	0	0	0	0	72	72
2006	"West Dunbartonshire"	"S12000039"	0	0	0	0	4.1	0	0	0	0	0	0	4.1
2006	"West Lothian"	"S12000040"	0	0	0	0	0	0	0	0	0	0	0	0
2007	"Aberdeen City"	"S12000033"	0	0	0	0	2.2	0	0	0	0	0	0	2.2
2007	"Aberdeenshire"	"S12000034"	0	0	0	0	6.5	0	0	0	0	0	59.5	66
2007	"Angus"	"S12000041"	0	0	0	0	2	0	0	0	0	0	0	2
2007	"Argyll and Bute"	"S12000035"	0	0	0	0	0	14	0	6.6	0	0	114.7	135.3
2007	"City of Edinburgh"	"S12000036"	0	0	0	0	2.4	0	0	0	0	0	0	2.4
2007	"Clackmannanshire"	"S12000005"	0	0	0	0	0	0	0	0	0	0	0	0
2007	"Dumfries and Galloway"	"S12000006"	0	0	50.4	0	0	0	0	0	0	0	69.3	119.7
2007	"Dundee City"	"S12000042"	0	0	0	8.3	0	0	0	0	0	0	4	12.3
2007	"East Ayrshire"	"S12000008"	0	0	0	0	6.7	0	0	0	0	0	13.2	19.9
2007	"East Dunbartonshire"	"S12000045"	0	0	0	0	0	0	0	0	0	0	0	0
2007	"East Lothian"	"S12000010"	0	0	0	0	16.2	0	0	0	0	0	0	16.2
2007	"East Renfrewshire"	"S12000011"	0	0	0	0	0	0	0	0	0	0	6.5	6.5
2007	"Falkirk"	"S12000014"	0	0	0	0	0	0	0	0	0	0	0	0
2007	"Fife"	"S12000047"	0	0	12.5	0	3	0	0	0	0	0	0	15.5
2007	"Glasgow City"	"S12000049"	0	0	0	0	6.7	0	0	0	0	0	0	6.7
2007	"Highland"	"S12000017"	0	0	0	0	0	276.2	0	29.2	0	0	244.8	550.2
2007	"Inverclyde"	"S12000018"	0	0	0	0	0	0	0	0	0	0	0	0
2007	"Midlothian"	"S12000019"	0	0	0	0	6.2	0	0	0	0	0	48.4	54.6
2007	"Moray"	"S12000020"	0	0	0	0	0	0	0	0	0	0	0	0
2007	"Na h-Eileanan Siar"	"S12000013"	0	0	0	0	0	0	0	0	0	0	3.9	3.9
2007	"North Ayrshire"	"S12000021"	0	0	0	0	1.2	0	0	0	0	0	42	43.2
2007	"North Lanarkshire"	"S12000050"	0	0	0	0	18.5	0	0	0	0	0	4	22.5
2007	"Offshore"	NA	0	0	0	0	0	0	0	0	0	10	681.6	691.6
2007	"Orkney Islands"	"S12000023"	0	0	0	0	0	0	0	0	0	0	14.2	14.2
2007	"Perth and Kinross"	"S12000048"	0	0	0	0	1.9	32.4	0	15.1	0	0	0	49.4
