"Year"	"LA"	"Advanced Conversion Technologies"	"Anaerobic Digestion"	"Biomass (dedicated)"	"EfW Incineration"	"Landfill Gas"	"Large Hydro"	"Shoreline wave / tidal"	"Small Hydro"	"Solar Photovoltaics"	"Wind Offshore"	"Wind Onshore"	"Total"
2008	"Aberdeen City"	0	0	0	0	2.2	0	0	0	0	0	0	2.2
2008	"Aberdeenshire"	0	0	1.2	0	6.5	0	0	0	0	0	61.1	68.8
2008	"Angus"	0	0	0	0	2	0	0	0	0	0	0	2
2008	"Argyll and Bute"	0	0	0	0	0	14	0	9.6	0	0	129.7	153.3
2008	"City of Edinburgh"	0	0	0	0	2.4	0	0	0	0	0	0	2.4
2008	"Clackmannanshire"	0	0	0	0	0	0	0	0	0	0	0	0
2008	"Comhairle nan Eilean Siar"	0	0	0	0	0	0	0	0	0	0	3.9	3.9
2008	"Dumfries and Galloway"	0	0	50.4	0	0	0	0	0	0	0	136.1	186.5
2008	"Dundee City"	0	0	0	8.3	0	0	0	0	0	0	4	12.3
2008	"East Ayrshire"	0	0	0	0	6.7	0	0	0	0	0	13.2	19.9
2008	"East Lothian"	0	0	0	0	16.2	0	0	0	0	0	48	64.2
2008	"East Renfrewshire"	0	0	0	0	0	0	0	0	0	0	328.5	328.5
2008	"Falkirk"	0	0	0	0	0	0	0	0	0	0	0	0
2008	"Fife"	0	0	12.5	0	3	0	0	0	0	0	0	15.5
2008	"Glasgow City"	0	0	0	0	6.7	0	0	0	0	0	0	6.7
2008	"Highland"	0	0	0	0	0	376.2	0	29.2	0	0	346.2	751.6
2008	"Midlothian"	0	0	0	0	6.2	0	0	0	0	0	48.4	54.6
2008	"Moray"	0	0	0	0	0	0	0	0	0	0	115.6	115.6
2008	"North Ayrshire"	0	0	0	0	1.2	0	0	0	0	0	48	49.2
2008	"North Lanarkshire"	0	0	0	0	18.5	0	0	0	0	0	4	22.5
2008	"Offshore"	0	0	0	0	0	0	0	0	0	10	0	10
2008	"Orkney Islands"	0	0	0	0	0	0	1	0	0	0	14.2	15.2
2008	"Perth and Kinross"	0	0	0	0	1.9	32.4	0	15.1	0	0	63.8	113.2
2008	"Scottish Borders"	0	0	0	0	0	0	0	0	0	0	121.1	121.1
2008	"Shetland Islands"	0	0	0	0	0	0	0	0	0	0	3.7	3.7
2008	"South Ayrshire"	0	0	0	0	0	0	0	0	0	0	120	120
2008	"South Lanarkshire"	0	0	0	0	7.4	0	0	0	0	0	165.6	173
2008	"Stirling"	0	0	15	0	0	0	0	0	0	0	109.5	124.5
2008	"West Dunbartonshire"	0	0	0	0	4.1	0	0	0	0	0	0	4.1
2008	"West Lothian"	0	0	0	0	0	0	0	0	0	0	0	0
