"LAU1"	"GovernmentRegion"	"Year"	"All Fuels Total"	"Coal - Industrial & Commercial"	"Coal - Domestic"	"Coal - Rail"	"Coal - Total"	"Manufactured Fuels - Industrial"	"Manufactured Fuels - Domestic"	"Manufactured Fuels - Total"	"Petroleum Products - Industrial & Commercial"	"Petroleum Products - Domestic"	"Petroleum Products - Road transport"	"Petroleum Products - Rail"	"Petroleum Products - Public Sector"	"Petroleum Products - Agriculture"	"Petroleum Products - Total"	"Gas - Industrial & Commercial"	"Gas - Domestic"	"Gas - Total"	"Electricity - Industrial & Commercial"	"Electricity - Domestic"	"Electricity - Total"	"Bioenergy & Wastes - Total"	"Consuming Sector - Industry & Commercial"	"Consuming Sector - Domestic"	"Consuming Sector - Transport"
"S12000015"	"Fife"	"2006"	"16728.843742"	"786.61922504999995"	"21.698517250999998"	"0"	"808.31774229999996"	"18.021489912"	"16.53287972"	"34.554369631999997"	"5233.7307946999999"	"134.87550601000001"	"2278.9464354000002"	"33.032207530000001"	"5.3843519741000003"	"86.985845808999997"	"7772.9551413999998"	"3330.7157000000002"	"2877.1457"	"6207.8613999999998"	"1136.3440399999999"	"728.08452"	"1864.4285600000001"	"40.726528514000002"	"10597.801447"	"3778.337123"	"2311.9786429000001"
"S12000047"	"Fife"	"2006"	"16728.843742"	"786.61922504999995"	"21.698517250999998"	"0"	"808.31774229999996"	"18.021489912"	"16.53287972"	"34.554369631999997"	"5233.7307946999999"	"134.87550601000001"	"2278.9464354000002"	"33.032207530000001"	"5.3843519741000003"	"86.985845808999997"	"7772.9551413999998"	"3330.7157000000002"	"2877.1457"	"6207.8613999999998"	"1136.3440399999999"	"728.08452"	"1864.4285600000001"	"40.726528514000002"	"10597.801447"	"3778.337123"	"2311.9786429000001"
"S12000046"	"Glasgow City"	"2006"	"13591.295542"	"5.8062659999999998E-4"	"5.9382726851000003"	"0"	"5.9388533117"	"2.3404540547999999"	"6.7281495932000004"	"9.0686036478999998"	"362.72007876999999"	"14.961816235000001"	"3185.4247372"	"18.491078387999998"	"4.5825326377"	"3.7887954651000002"	"3589.9690387000001"	"2915.2921000000001"	"3639.8992499999999"	"6555.1797200000001"	"2111.7172500000001"	"1293.3490400000001"	"3405.0662900000002"	"26.073036603999999"	"5400.4417916"	"4960.8765285"	"3203.9158155999999"
"S12000017"	"Highland"	"2006"	"7478.0363584"	"50.260402372000001"	"122.66023429000001"	"3.6437358473999999"	"176.56437251"	"4.5314235792000002"	"67.804285516999997"	"72.335709096000002"	"766.70123429"	"858.63716826999996"	"1943.7859510999999"	"30.908644613"	"57.943010061999999"	"293.15710482999998"	"3951.1331131000002"	"602.38747999999998"	"666.18966"	"1268.5771400000001"	"1026.05675"	"748.97199999999998"	"1775.0287499999999"	"234.39727368000001"	"2801.0374051"	"2464.2633481"	"1978.3383315000001"
"S12000018"	"Inverclyde"	"2006"	"1752.1839622"	"4.05549963E-2"	"1.3607906308"	"0"	"1.4013456271"	"5.5016133699999997E-2"	"1.4863607526"	"1.5413768862999999"	"23.649055738000001"	"6.3455285011999996"	"441.08594397000002"	"0.49821841900000002"	"1.2198840046999999"	"7.2957317861000002"	"480.09436241999998"	"253.60378"	"581.06969000000004"	"834.68510000000003"	"234.80969999999999"	"194.05817999999999"	"428.86788000000001"	"5.5938973017000002"	"520.67372266"	"784.32054988"	"441.58416239000002"
"S12000019"	"Midlothian"	"2006"	"1844.998579"	"3.7677161948000002"	"10.370728384"	"0"	"14.138444578"	"0.1216485789"	"6.4784206268000002"	"6.6000692055999997"	"96.143409222000003"	"41.878180681000003"	"520.01858685000002"	"1.0227356291"	"0.56701805650000003"	"21.404702955000001"	"681.03463338999995"	"190.34820999999999"	"590.75747999999999"	"781.10568999999998"	"205.92078000000001"	"146.8869"	"352.80768"	"9.3120618462000007"	"518.27348501"	"796.37170969"	"521.04132247999996"
"S12000020"	"Moray"	"2006"	"3624.2059461"	"34.523363226999997"	"19.118849366999999"	"1.1211494915"	"54.763362084999997"	"0"	"11.504279665"	"11.504279665"	"266.70545888999999"	"193.53132378999999"	"545.61801135999997"	"5.5242562918000004"	"5.7812988768000002"	"90.095289268000002"	"1107.2556385"	"1361.1170500000001"	"530.15355"	"1891.2706000000001"	"332.10628000000003"	"213.15464"	"545.26092000000006"	"14.151145864"	"2090.3287403"	"967.46264282"	"552.26341714"
"S12000013"	"Na h-Eileanan Siar"	"2006"	"772.44281172"	"14.310682087"	"24.009558059"	"0"	"38.320240146000003"	"0"	"12.914052169"	"12.914052169"	"163.2584482"	"186.91757225000001"	"161.81489435"	"5.5639889657000001"	"4.6367162611000001"	"34.414163492999997"	"556.60578351000004"	"0"	"0"	"0"	"60.790010000000002"	"96.575519999999997"	"157.36553000000001"	"7.2372058928999996"	"277.41002004"	"320.41670248"	"167.37888330999999"
"S12000021"	"North Ayrshire"	"2006"	"4976.5291032"	"238.38455486999999"	"5.2256252455999999"	"0"	"243.61018012"	"2.1207257898999998"	"4.6265329632999999"	"6.7472587530999997"	"166.56611071"	"52.740163090999999"	"637.15672744999995"	"6.8306229071000004"	"1.2540371511999999"	"44.573828962"	"909.12149027999999"	"1818.10627"	"1005.44839"	"2823.5546599999998"	"603.17831999999999"	"296.03001999999998"	"899.20834000000002"	"94.287174031999996"	"2874.1838475"	"1364.0707313"	"643.98735036000005"
"S12000044"	"North Lanarkshire"	"2006"	"8717.3943401"	"1.3386562403"	"10.557416039"	"0"	"11.89607228"	"67.382394345999998"	"8.9984801093000009"	"76.380874454999997"	"321.55993784999998"	"42.323349366999999"	"2690.6742935000002"	"28.209412791999998"	"6.015994847"	"25.776928163000001"	"3114.5599164999999"	"1313.79458"	"2443.9747200000002"	"3757.7809299999999"	"1039.4893999999999"	"643.69723999999997"	"1683.1750099999999"	"73.601536799000002"	"2775.3578914"	"3149.5512055"	"2718.8837063000001"
