SETTLEMENT_DATE,SETTLEMENT_PERIOD,Total
2009-01-15,28,49490
2009-01-15,27,49567
2009-01-15,26,49967
2009-01-15,25,50257
2009-01-15,24,49989
2009-01-15,23,49768
2009-01-15,22,49513
2009-01-15,21,49547
2009-01-15,20,49487
2009-01-15,19,49068
2009-01-15,18,48340
2009-01-15,17,48606
2009-01-15,16,47586
2009-01-15,15,45124
2009-01-15,14,41101
2009-01-15,13,37508
2009-01-15,12,34564
2009-01-15,11,33637
2009-01-15,10,33269
2009-01-15,9,33470
2009-01-15,8,34204
2009-01-15,7,35090
2009-01-15,6,35642
2009-01-15,5,35476
2009-01-15,4,35863
2009-01-15,3,36408
2009-01-15,2,36617
2009-01-15,1,36821
2009-01-16,48,35654
2009-01-16,47,36584
2009-01-16,46,38367
2009-01-16,45,39720
2009-01-16,44,41290
2009-01-16,43,43172
2009-01-16,42,44644
2009-01-16,41,46493
2009-01-16,40,48103
2009-01-16,39,49551
2009-01-16,38,50812
2009-01-16,37,51838
2009-01-16,36,52489
2009-01-16,35,53124
2009-01-16,34,51632
2009-01-16,33,48979
2009-01-16,32,47632
2009-01-16,31,46864
2009-01-16,30,47298
2009-01-16,29,47666
2009-01-16,28,47634
2009-01-16,27,47785
2009-01-16,26,47913
2009-01-16,25,48217
2009-01-16,24,48231
2009-01-16,23,48253
2009-01-16,22,48362
2009-01-16,21,48417
2009-01-16,20,48352
2009-01-16,19,48059
2009-01-16,18,47553
2009-01-16,17,47717
2009-01-16,16,46819
2009-01-16,15,44362
2009-01-16,14,40221
2009-01-16,13,36827
2009-01-16,12,34075
2009-01-16,11,33026
2009-01-16,10,32723
2009-01-16,9,32927
2009-01-16,8,33541
2009-01-16,7,34487
2009-01-16,6,35124
2009-01-16,5,35151
2009-01-16,4,35435
2009-01-16,3,36235
2009-01-16,2,36364
2009-01-16,1,36574
2009-01-17,48,34661
2009-01-17,47,35489
2009-01-17,46,36856
2009-01-17,45,37938
2009-01-17,44,39184
2009-01-17,43,40511
2009-01-17,42,41856
2009-01-17,41,43238
2009-01-17,40,44541
2009-01-17,39,45952
2009-01-17,38,47364
2009-01-17,37,47747
2009-01-17,36,48454
2009-01-17,35,48660
2009-01-17,34,46505
2009-01-17,33,43305
2009-01-17,32,41402
2009-01-17,31,40479
2009-01-17,30,40199
2009-01-17,29,40387
2009-01-17,28,40447
2009-01-17,27,40698
2009-01-17,26,40927
2009-01-17,25,41193
2009-01-17,24,41187
2009-01-17,23,41399
2009-01-17,22,41412
2009-01-17,21,41082
2009-01-17,20,40534
2009-01-17,19,39772
2009-01-17,18,37945
2009-01-17,17,36019
2009-01-17,16,34279
2009-01-17,15,33361
2009-01-17,14,32145
2009-01-17,13,31230
2009-01-17,12,30366
2009-01-17,11,30319
2009-01-17,10,30574
2009-01-17,9,30999
2009-01-17,8,31786
2009-01-17,7,32842
2009-01-17,6,33641
2009-01-17,5,33700
2009-01-17,4,34407
2009-01-17,3,35368
2009-01-17,2,35925
2009-01-17,1,36068
2009-01-18,48,33829
2009-01-18,47,34954
2009-01-18,46,36913
2009-01-18,45,38670
2009-01-18,44,40147
2009-01-18,43,42058
2009-01-18,42,43383
2009-01-18,41,44844
2009-01-18,40,45621
2009-01-18,39,46803
2009-01-18,38,47404
2009-01-18,37,48267
2009-01-18,36,48893
2009-01-18,35,48845
2009-01-18,34,46732
2009-01-18,33,43092
2009-01-18,32,41698
2009-01-18,31,40845
2009-01-18,30,40745
2009-01-18,29,41089
2009-01-18,28,41355
2009-01-18,27,41794
2009-01-18,26,41985
2009-01-18,25,41924
2009-01-18,24,41493
2009-01-18,23,41041
2009-01-18,22,40167
2009-01-18,21,39186
2009-01-18,20,37679
2009-01-18,19,35865
2009-01-18,18,33816
2009-01-18,17,32036
2009-01-18,16,30911
2009-01-18,15,30572
2009-01-18,14,30280
2009-01-18,13,29990
2009-01-18,12,29588
2009-01-18,11,29650
2009-01-18,10,30010
2009-01-18,9,30435
2009-01-18,8,31021
2009-01-18,7,32103
2009-01-18,6,32994
2009-01-18,5,33142
2009-01-18,4,33827
2009-01-18,3,34802
2009-01-18,2,35090
2009-01-18,1,35323
2009-01-19,48,36029
2009-01-19,47,37495
2009-01-19,46,40046
2009-01-19,45,42169
2009-01-19,44,44126
2009-01-19,43,46686
2009-01-19,42,48278
2009-01-19,41,49824
2009-01-19,40,51792
2009-01-19,39,53157
2009-01-19,38,54259
2009-01-19,37,55127
2009-01-19,36,55883
2009-01-19,35,56241
2009-01-19,34,54627
2009-01-19,33,52048
2009-01-19,32,50350
2009-01-19,31,49374
2009-01-19,30,49713
2009-01-19,29,50071
2009-01-19,28,49973
2009-01-19,27,50168
2009-01-19,26,50203
2009-01-19,25,50399
2009-01-19,24,50295
2009-01-19,23,50227
2009-01-19,22,49859
2009-01-19,21,49785
2009-01-19,20,49559
2009-01-19,19,49025
2009-01-19,18,48042
2009-01-19,17,48211
2009-01-19,16,47063
2009-01-19,15,44572
2009-01-19,14,40038
2009-01-19,13,36680
2009-01-19,12,33375
2009-01-19,11,32165
2009-01-19,10,31745
2009-01-19,9,31769
2009-01-19,8,32117
2009-01-19,7,32804
2009-01-19,6,33295
2009-01-19,5,33217
2009-01-19,4,33558
2009-01-19,3,34206
2009-01-19,2,34289
2009-01-19,1,34575
2009-01-20,48,36699
2009-01-20,47,37959
2009-01-20,46,40323
2009-01-20,45,42476
2009-01-20,44,44774
2009-01-20,43,47189
2009-01-20,42,48879
2009-01-20,41,50820
2009-01-20,40,51794
2009-01-20,39,53183
2009-01-20,38,54473
2009-01-20,37,55135
2009-01-20,36,55571
2009-01-20,35,55485
2009-01-20,34,53806
2009-01-20,33,51245
2009-01-20,32,49689
2009-01-20,31,48781
2009-01-20,30,48882
2009-01-20,29,49012
2009-01-20,28,49183
2009-01-20,27,49384
2009-01-20,26,49508
2009-01-20,25,49738
2009-01-20,24,49584
2009-01-20,23,49610
2009-01-20,22,49498
2009-01-20,21,49431
2009-01-20,20,49459
2009-01-20,19,49201
2009-01-20,18,48354
2009-01-20,17,48652
2009-01-20,16,48039
2009-01-20,15,45500
2009-01-20,14,41196
2009-01-20,13,37693
2009-01-20,12,34724
2009-01-20,11,33758
2009-01-20,10,33401
2009-01-20,9,33598
2009-01-20,8,34208
2009-01-20,7,35173
2009-01-20,6,35781
2009-01-20,5,35529
2009-01-20,4,35753
2009-01-20,3,36285
2009-01-20,2,36417
