"Date"	"ScotDemand"	"NITransfer"	"Fergus"	"GBTotal"	"EnglandTransfer"
2014-09-07	84.466613	147.877875	497.793452	1795.841702	265.448964
2014-09-08	91.563519	182.4456	504.805081	1758.017539	230.795962
2014-09-09	92.460386	208.174633	485.497353	1837.327251	184.862334
2014-09-10	85.93866	211.657319	441.392125	1820.494075	143.796146
2014-09-11	82.06932	203.903333	446.021025	1877.109666	160.048372
2014-09-12	78.577043	184.455566	478.487673	1791.692754	215.455064
2014-09-13	77.025599	165.511068	454.076714	1485.063223	211.540047
2014-09-14	85.714138	160.100098	475.719236	1494.962463	229.905
2014-09-15	102.71354	202.366536	417.001208	1852.760731	111.921132
2014-09-16	94.942108	202.755534	297.178731	1961.815756	-0.518911000000003
2014-09-17	92.162626	182.100152	449.216458	1854.702388	174.95368
2014-09-18	90.256663	190.211046	502.267859	1897.632353	221.80015
2014-09-19	93.294584	189.611003	481.904708	1916.828823	198.999121
2014-09-20	85.69626	142.055664	479.659519	1674.683885	251.907595
2014-09-21	92.501219	145.666775	449.430122	1705.858663	211.262128
2014-09-22	95.277051	166.266819	435.723792	1863.522091	174.179922
2014-09-23	98.809621	167.377387	473.201975	1998.929952	207.014967
2014-09-24	100.224654	165.088976	498.3294	1931.09705	233.01577
2014-09-25	98.30301	156.877713	500.953442	1891.917045	245.772719
2014-09-26	96.87643	159.788954	513.913399	1879.011874	257.248015
2014-09-27	97.295244	147.489149	466.79358	1672.011111	222.009187
2014-09-28	88.239081	154.733073	502.437495	1784.025665	259.465341
2014-09-29	90.180964	171.744249	517.588078	1846.954696	255.662865
2014-09-30	87.281677	170.767144	545.824158	1956.193434	287.775337
2014-10-01	100.299119	186.855469	551.792742	1791.870444	264.638154
2014-10-02	115.07251	146.899957	546.840739	1845.868753	284.868272
2014-10-03	118.077205	184.02181	553.220806	1933.988863	251.121791
2014-10-04	117.361824	149.044596	569.126353	1948.697563	302.719933
2014-10-05	129.046659	126.80013	545.616591	2006.816785	289.769802
2014-10-06	142.318089	181.078016	531.413983	2097.316991	208.017878
2014-10-07	143.03834	180.58865	544.404147	2225.452258	220.777157
2014-10-08	140.170512	191.810981	462.080314	2269.199304	130.098821
2014-10-09	138.913997	186.788737	493.415858	2166.48863	167.713124
2014-10-10	138.264142	190.544705	481.403485	2035.769878	152.594638
2014-10-11	139.347699	175.755751	518.413275	2199.168066	203.309825
2014-10-12	145.856544	160.877821	560.532406	2235.635789	253.798041
2014-10-13	160.844231	193.710938	599.955461	2365.700313	245.400292
2014-10-14	156.368127	181.788737	668.368539	2497.906239	330.211675
2014-10-15	150.787604	165.899523	549.361113	2359.171071	232.673986
2014-10-16	146.638472	160.567491	582.302008	2314.411538	275.096045
2014-10-17	123.820241	142.610677	604.021952	2152.44539	337.591034
2014-10-18	106.873373	129.100477	582.506473	2228.274349	346.532623
2014-10-19	123.325488	118.543837	598.012394	2139.000546	356.143069
2014-10-20	138.26043	149.144965	604.927583	2232.207723	317.522188
2014-10-21	164.294359	148.91059	608.21402	2252.0886	295.009071
2014-10-22	167.131388	169.30013	605.504278	2590.434795	269.07276
2014-10-23	150.257842	149.310981	589.545226	2390.010669	289.976403
2014-10-24	153.270046	163.8227	609.845417	2381.435596	292.752671
2014-10-25	149.340893	134.433594	623.387889	2271.807154	339.613402
2014-10-26	145.571872	115.532769	598.237969	2323.661253	337.133328
2014-10-27	128.887594	116.255425	636.778822	2283.150134	391.635803
2014-10-28	154.711866	181.4523	565.492145	2257.994208	229.327979
2014-10-29	172.414223	184.966651	522.050795	2362.315129	164.669921
2014-10-30	160.144009	152.888896	634.452695	2333.545099	321.41979
2014-10-31	119.665953	149.455444	611.067589	2309.483231	341.946192
2014-11-01	126.919151	120.23329	622.322999	2026.302734	375.170558
2014-11-02	148.018592	122.83332	623.605455	2117.777952	352.753543
2014-11-03	167.306209	191.677789	632.100988	2461.784788	273.11699
2014-11-04	178.585806	177.711182	670.756917	2576.578543	314.459929
2014-11-05	196.479276	183.744439	665.271819	2677.862467	285.048104
2014-11-06	192.361844	173.210992	598.115384	2780.755592	232.542548
2014-11-07	170.782089	166.433377	593.034861	2459.867316	255.819395
2014-11-08	172.91364	166.688911	593.682861	2453.079091	254.08031
2014-11-09	173.008772	160.333252	605.639908	2434.179547	272.297884
2014-11-10	191.300433	171.277805	436.123531	2653.036404	73.545293
2014-11-11	178.115644	196.311035	442.031588	2491.553328	67.604909
2014-11-12	176.330323	176.85574	483.887053	2406.647934	130.70099
2014-11-13	172.40161	184.777561	553.407708	2382.580509	196.228537
2014-11-14	171.606227	176.422255	561.127167	2548.990483	213.098685
2014-11-15	171.095105	169.388835	587.296111	2657.668418	246.812171
2014-11-16	176.133493	159.622396	622.550139	2667.255838	286.79425
2014-11-17	173.985828	189.266493	527.305853	2753.092093	164.053532
2014-11-18	169.360702	168.511285	565.882339	2864.409934	228.010352
2014-11-19	174.468548	176.711155	551.449722	2760.830825	200.270019
2014-11-20	180.55307	199.688856	517.460944	2809.631552	137.219018
2014-11-21	188.245197	152.67768	508.285839	2709.745249	167.362962
2014-11-22	166.779996	159.755588	542.201432	2380.487385	215.665848
2014-11-23	183.996932	179.88878	571.190355	2557.750283	207.304643
2014-11-24	189.972965	209.478082	578.816122	3209.541998	179.365075
2014-11-25	189.200784	199.321832	649.068506	3294.606491	260.54589
2014-11-26	200.122842	201.322157	491.198737	3093.977509	89.753738
2014-11-27	202.229296	177.733832	686.739011	2920.968574	306.775883
2014-11-28	182.541791	171.266276	577.950555	2616.829948	224.142488
2014-11-29	162.098676	165.633681	576.025293	2582.693011	248.292936
2014-11-30	170.539435	168.19987	588.50155	2537.116404	249.762245
2014-12-01	192.507108	204.866536	691.105109	2953.79196	293.731465
2014-12-02	216.027869	216.889106	689.881132	3148.818325	256.964157
2014-12-03	213.897395	229.822049	754.125033	3387.568148	310.405589
2014-12-04	211.100988	214.588759	907.982305	3509.991301	482.292558
2014-12-05	227.968046	198.044705	803.277294	3348.74493	377.264543
2014-12-06	217.729362	158.355577	926.473369	3095.09551	550.38843
2014-12-07	225.98571	158.400065	860.33862	2850.444496	475.952845
2014-12-08	247.937439	209.966363	882.987039	3402.063358	425.083237
2014-12-09	236.192269	176.244575	837.623144	3460.279577	425.1863
2014-12-10	253.621509	172.166341	771.887299	3232.965776	346.099449
2014-12-11	260.060254	192.288954	871.730181	3258.338232	419.380973
2014-12-12	251.893574	210	791.780195	3255.946808	329.886621
2014-12-13	243.975847	180.844727	830.238014	3238.772523	405.41744
2014-12-14	227.067811	156.833225	747.566595	2960.322314	363.665559
