LA Code,Year,Region,Coal - Industrial,Coal - Commercial,Coal - Domestic,Coal - Rail,Coal - Public Sector,Coal - Agriculture,Coal - Total,Manufactured fuels - Industrial,Manufactured fuels - Domestic,Manufactured fuels - Total,Petroleum products - Industrial,Petroleum products - Commercial,Petroleum products - Domestic,Petroleum products - Road transport,Petroleum products - Rail,Petroleum products - Public Sector,Petroleum products - Agriculture,Petroleum products - Total,Gas - Industrial,Gas - Commercial,Gas - Domestic,Gas - Total,Electricity - Industrial & Commercial,Electricity - Domestic,Electricity - Total,Bioenergy & Wastes - Industrial,Bioenergy & Wastes - Commercial,Bioenergy & wastes - Domestic,Bioenergy & wastes - Total,All fuels - Total,Consuming Sector - Industry & Commercial,Consuming Sector - Domestic,Consuming Sector - Transport
S12000029,2016,South Lanarkshire,11.113375175,0.204688,22.939560866,0,0.2387934169,0,34.496417459,4.741009263,12.624541171,17.365550434,254.93801337,2.8750278886,118.75992073,2469.4589401,12.702056761,0.8707338318,129.65056325,2989.2552559,308.35015848467094,264.39343811532905,1817.680121,2390.423718,562.6882056,584.6159964,1147.304202,1.0249935365160916,0.8745381199839086,74.485317979,76.384849636,6655.2299934,1541.9635381,2631.1054581,2482.1609968
S12000028,2016,South Ayrshire,43.138003001,0.2577405129,9.7383197565,0,0.1251165751,0,53.259179846,1.283848807,5.2934246217,6.5772734287,148.40030655,2.7563808732,63.781246756,766.55188416,52.963267265,0.2638477864,108.3662794,1143.0832128,329.3992277081697,282.44186659183026,654.3808692,1266.221964,261.3323374,205.2448669,466.5772043,1.1415853699807665,0.9740158232192334,29.78650913,31.902110335,2967.6209447,1179.8805564,968.22523636,819.51515142
S12000027,2016,Shetland Islands,8.0842082793,0.3712619779,8.4696905955,0,0.4248660319,0,17.350026885,0,4.1727685795,4.1727685795,136.98792653,3.631823599,63.132832388,150.58605457,0,1.0529076172,68.825340134,424.21688483,0,0,0,0,89.42898116,99.87424503,189.3032262,0.6924876024276241,0.5908396339723759,13.919098033,15.20242527,650.24533177,310.09064256,189.56863463,150.58605457
S12000026,2016,Scottish Borders,69.036287156,0.2587146998,35.620398646,0,0.3283565121,0,105.24375701,0.1556929848,17.477536088,17.633229073,120.46318133,3.9023935254,191.74952277,924.64806368,0.9639251381,0.5801832747,293.00861183,1535.3158815,154.39312096281517,132.38367793718484,501.5533518,788.3301507,272.7459863,252.4314848,525.177471,6.239890220148787,5.323957339851213,56.547813379,68.111660951,3039.8121503,1058.8200541,1055.3801075,925.61198881
S12000023,2016,Orkney Islands,5.1735520485,0.3248928888,15.192679225,0,0.6738732521,0,21.364997414,0,7.1971957854,7.1971957854,63.68180094,3.052733207,76.596758831,102.28765022,0,1.7207082648,127.56060736,374.90025882,0,0,0,0,53.42627216,79.98671206,133.4129842,0.32028713538159265,0.2732732444184074,16.964848425,17.558408794,554.43384501,256.2080005,195.93819433,102.28765022
S12000021,2016,North Ayrshire,3.8745202765,0.1912489884,5.1216337514,0,0.0974647731,0,9.2848677894,0.3117747722,3.5014029996,3.8131777717,101.32103548,2.19284656,37.8802954,579.30926644,6.8528857277,0.2677474417,48.274307405,776.09838445,804.9491412858082,690.1999727141917,741.8722875,2237.021401,397.1657783,247.8044697,644.970248,792.7922662152771,676.4209073847229,35.616173397,1504.8293461,5176.0174251,3518.0590116,1071.7962627,586.16215216
S12000020,2016,Moray,66.882588188,0.2168231723,18.72621203,0.8967116698,0.3583199395,0,87.080654999,0,9.4090272736,9.4090272736,149.40476988,1.6880631339,135.55136834,559.09816293,6.8598137303,4.2250470111,97.399735576,954.2269606,756.3799483871525,648.5545396128476,438.7085768,1843.643064,308.0802079,187.0057811,495.085989,41.31020227663786,35.24641409736215,35.86821685,112.42483322,3501.8705291,2109.7466592,825.2691824,566.85468833
S12000019,2016,Midlothian,5.7707310912,0.1373591737,10.158282464,0,0.268771847,0,16.335144576,0,5.2531347197,5.2531347197,58.966846401,1.0864718902,29.736854961,506.22441586,0.9556502186,0.1194075127,23.174319115,620.26396596,91.81105807446377,78.72297332553622,483.9379068,654.4719382,202.9625325,139.2477753,342.2103078,0.5322381342450866,0.4541126560549134,23.60282743,24.589178221,1663.1236695,464.00682172,691.93678168,507.18006608
S12000018,2016,Inverclyde,0.0053168406,0.0318509531,1.3343422547,0,0,0,1.3715100483,0.0383048936,1.0884145654,1.1267194591,16.076211837,0.3398855172,5.0611078704,399.95717689,0.5783475141,0.3950088795,7.9033837251,430.31112224,87.57824529853276,75.09356730146725,463.3541685,626.0259811,164.5464423,140.538568,305.0850103,4.901232896079273e-4,4.1817971039207266e-4,14.17857772,14.179486499,1378.0998296,352.00912585,625.55517891,400.53552441
S12000017,2016,Highland,61.813678948,2.542068176,120.12773317,2.914312947,2.9943360463,0,190.39212929,0.6227719625,56.599511032,57.222282994,489.72470168,20.081588396,596.83643401,2078.4542114,37.319984714,39.467395178,317.17488562,3579.059201,288.65802812042733,247.50851067957268,585.151847,1121.318386,895.9657564,652.0803816,1548.046138,526.2792449541848,449.0284524458152,125.56582755,1100.8735249,7596.9116622,3341.8614186,2136.3617344,2118.6885091
