GeographyCode,DateCode,Measurement,Units,Energy Type,Energy Consuming Sector,Value
S12000005,2013,Count,GWh,Coal,Agriculture,0
S12000005,2013,Count,GWh,Coal,Commercial,0.023
S12000005,2013,Count,GWh,Coal,Domestic,3.414
S12000005,2013,Count,GWh,Coal,Industrial,0.158
S12000005,2013,Count,GWh,Coal,Public Sector,0.267
S12000005,2013,Count,GWh,Coal,Rail,0
S12000005,2013,Count,GWh,Coal,All,3.862
S12000005,2013,Count,GWh,All,Domestic,427.074
S12000005,2013,Count,GWh,All,Industrial & Commercial,968.738
S12000005,2013,Count,GWh,All,Transport,268.701
S12000005,2013,Count,GWh,Electricity,Domestic,90.438
S12000005,2013,Count,GWh,Electricity,Industrial & Commercial,130.345
S12000005,2013,Count,GWh,Electricity,All,220.783
S12000005,2013,Count,GWh,Gas,Commercial,403.478
S12000005,2013,Count,GWh,Gas,Domestic,308.855
S12000005,2013,Count,GWh,Gas,Industrial,407.36
S12000005,2013,Count,GWh,Gas,All,1119.693
S12000005,2013,Count,GWh,Manufactured Fuels,Domestic,2.311
S12000005,2013,Count,GWh,Manufactured Fuels,Industrial,3.414
S12000005,2013,Count,GWh,Manufactured Fuels,All,5.725
S12000005,2013,Count,GWh,Petroleum Products,Agriculture,9.338
S12000005,2013,Count,GWh,Petroleum Products,Commercial,0.254
S12000005,2013,Count,GWh,Petroleum Products,Domestic,10.341
S12000005,2013,Count,GWh,Petroleum Products,Industrial,14.09
S12000005,2013,Count,GWh,Petroleum Products,Public Sector,0.009
S12000005,2013,Count,GWh,Petroleum Products,Rail,48.218
S12000005,2013,Count,GWh,Petroleum Products,Road Transport,214.025
S12000005,2013,Count,GWh,Petroleum Products,All,296.276
S12000005,2014,Count,GWh,All,All,1622.114
S12000005,2014,Count,GWh,Bioenergy & Wastes,Domestic,11.127
S12000005,2014,Count,GWh,Bioenergy & Wastes,Road Transport,7.28
S12000005,2014,Count,GWh,Bioenergy & Wastes,All,18.409
S12000005,2014,Count,GWh,Bioenergy & Wastes,Commercial,0
S12000005,2014,Count,GWh,Bioenergy & Wastes,Industrial,0.001
S12000005,2014,Count,GWh,Coal,Agriculture,0
S12000005,2014,Count,GWh,Coal,Commercial,0.021
S12000005,2014,Count,GWh,Coal,Domestic,2.917
S12000005,2014,Count,GWh,Coal,Industrial,0.156
S12000005,2014,Count,GWh,Coal,Public Sector,0.275
S12000005,2014,Count,GWh,Coal,Rail,0
S12000005,2014,Count,GWh,Coal,All,3.368
S12000005,2014,Count,GWh,All,Domestic,418.583
S12000005,2014,Count,GWh,All,Industrial & Commercial,927.22
S12000005,2014,Count,GWh,All,Transport,276.312
S12000005,2014,Count,GWh,Electricity,Domestic,90.8
S12000005,2014,Count,GWh,Electricity,Industrial & Commercial,122.479
S12000005,2014,Count,GWh,Electricity,All,213.279
S12000005,2014,Count,GWh,Gas,Commercial,360.672
S12000005,2014,Count,GWh,Gas,Domestic,302.341
