"Date"	"Fergus"	"GBTotal"	"UKProp"
2016-11-30	905.380636	2221.006995	0.40764420735199
2016-12-01	862.570528	2254.067403	0.382672908029272
2016-12-02	882.113931	2122.611394	0.415579570284734
2016-12-03	641.177312	1992.315326	0.321825216938576
2016-12-04	607.158619	2011.765005	0.301803947027103
2016-12-05	662.947676	2550.429683	0.259935680806613
2016-12-06	673.013963	2378.37356	0.28297235317399
2016-12-07	632.650297	1961.805177	0.322483753441538
2016-12-08	1027.739398	2621.329226	0.392068034723083
2016-12-09	938.131766	2392.895898	0.392048716696826
2016-12-10	918.800454	2526.106791	0.363721936567962
2016-12-11	1119.741413	2728.011009	0.41046073835694
2016-12-12	984.244803	3013.85884	0.32657296019876
2016-12-13	1101.91821	2974.649807	0.370436280400787
2016-12-14	1144.30899	2705.784028	0.422912168213893
2016-12-15	1134.818483	2821.646682	0.402183055107252
2016-12-16	1110.056209	2785.055424	0.398575985035765
2016-12-17	1078.261489	2749.454055	0.392172943220904
2016-12-18	1025.698772	2713.769644	0.377960883403558
2016-12-19	1044.922822	3054.816821	0.342057440176705
2016-12-20	1114.957354	3208.909473	0.347456780373935
2016-12-21	1083.953355	3049.484432	0.355454628207133
2016-12-22	1123.35928	3079.863623	0.36474318914997
2016-12-23	1120.000411	2759.359561	0.405891434675555
2016-12-24	1165.817787	2756.853542	0.422879840818182
2016-12-25	1079.528507	2559.205308	0.421821767728219
2016-12-26	942.420475	2581.8258	0.365020937895965
2016-12-27	1029.109662	2877.692294	0.357616296970214
2016-12-28	1097.891704	2932.765992	0.374353667150679
2016-12-29	1091.688685	2887.22514	0.37810999560637
2016-12-30	1119.641344	2841.438114	0.394040376414828
2016-12-31	1067.666063	2748.072562	0.388514509319569
2017-01-01	1136.287455	2874.711854	0.395270034949388
2017-01-02	1185.09758	3014.091371	0.393185684880818
2017-01-03	1161.486094	2953.771068	0.393221433638878
2017-01-04	1222.806625	3183.665976	0.384087600338133
2017-01-05	1148.17459	3498.935734	0.328149665294767
2017-01-06	1153.741048	3420.319079	0.337319712386986
2017-01-07	1139.999512	2980.061518	0.382542274753135
2017-01-08	1139.778493	2855.807282	0.399109036587995
2017-01-09	1189.037196	3011.176552	0.394874619759592
2017-01-10	1198.784583	3042.332927	0.394034647674837
2017-01-11	1156.299622	2916.26094	0.396500740430999
2017-01-12	1210.984789	3205.774676	0.37775106218975
2017-01-13	1196.719592	3328.216797	0.359567800114074
2017-01-14	1172.234233	3079.071905	0.380710249441219
2017-01-15	1236.355891	3048.864972	0.405513495138151
2017-01-16	1228.062186	3164.376555	0.388089775238523
2017-01-17	1157.704871	3334.668202	0.34717243241941
2017-01-18	1188.188395	3429.1125	0.346500266468365
2017-01-19	1171.701489	3454.266411	0.339204146289572
2017-01-20	1120.974605	3451.779335	0.324752684400667
2017-01-21	1031.744988	3260.784011	0.316410097853611
2017-01-22	1048.282825	3328.46381	0.314944937015854
2017-01-23	1149.750906	3542.83818	0.324528202414258
2017-01-24	1076.987864	3443.313087	0.312776630178097
2017-01-25	1161.637407	3513.482922	0.330622756048222
2017-01-26	1195.007869	3835.22532	0.311587395600528
2017-01-27	1123.734386	3664.969183	0.30661496178807
2017-01-28	1134.700224	3238.400175	0.350389131262939
2017-01-29	1116.668225	3197.955016	0.349181967667803
2017-01-30	1182.176661	3160.954035	0.373993625946541
2017-01-31	1223.34037	3205.96675	0.381582363572548
2017-02-01	1195.772149	2996.893629	0.399003867681151
2017-02-02	1186.684613	2835.875056	0.418454476860422
2017-02-03	1156.617256	2909.069734	0.397590075783312
2017-02-04	1127.584158	2875.140502	0.392184019255974
2017-02-05	1142.28238	2936.984943	0.388930281281323
2017-02-06	994.661459	2905.215058	0.342371025601369
2017-02-07	1104.056048	2972.889412	0.371374745237244
2017-02-08	1126.203288	3154.256078	0.357042440483807
2017-02-09	1096.121747	3594.297388	0.304961339776596
2017-02-10	1219.484807	3594.279175	0.339284943551999
2017-02-11	1056.920812	3220.829166	0.328151776305667
2017-02-12	987.894742	3005.097046	0.328739713519388
2017-02-13	825.616664	3025.703329	0.272867685369824
2017-02-14	1051.374803	3059.323284	0.343662537561362
2017-02-15	973.353035	2832.827865	0.34359766331937
2017-02-16	917.621411	2700.021805	0.339857037191594
2017-02-17	985.427773	2750.102719	0.35832398775211
2017-02-18	1107.944822	2767.845715	0.400291394854716
2017-02-19	1091.40323	2716.17008	0.401816969429249
2017-02-20	1099.199785	2817.142651	0.390182508013862
2017-02-21	1138.268538	2808.452796	0.405300932820094
2017-02-22	1157.48906	2829.407162	0.409092433052942
2017-02-23	1136.944148	2937.14655	0.387091392494528
2017-02-24	1073.279391	2959.619002	0.362641066392234
2017-02-25	1103.029339	2623.262556	0.420479961671057
2017-02-26	1074.481972	2550.796754	0.421233863621264
2017-02-27	1141.739192	3162.855412	0.360983681918622
2017-02-28	1107.034523	3231.042223	0.34262459187925
