"","Ref","County","Planning Authority","Technology Type","Development Status (short)","Operational","Installed Capacity (MWelec)","No. of Turbines","LA","LACode"
"782",4577,"Borders","Scottish Borders Council","Wind Onshore","Awaiting Construction",NA,27,9,"Scottish Borders","S12000026"
"783",6214,"Scottish Borders","Scottish Borders Council","Wind Onshore","Under Construction",NA,20,8,"Scottish Borders","S12000026"
"936",3745,"Shetland","Shetland Islands Council","Wind Onshore","Operational",2017-04-03,4.5,5,"Shetland Islands","S12000027"
"937",5960,"Shetland","Shetland Islands Council","Wind Onshore","Awaiting Construction",NA,2.7,3,"Shetland Islands","S12000027"
"938",3310,"Shetland","Shetland Islands Council","Wind Onshore","Operational",2000-12-16,3.7,5,"Shetland Islands","S12000027"
"939",4075,"Shetland","Shetland Islands Council","Wind Onshore","Operational",2015-11-15,3,1,"Shetland Islands","S12000027"
"940",9031,"Shetland","Shetland Islands Council","Wind Onshore","Application Submitted",NA,2.7,3,"Shetland Islands","S12000027"
"941",7266,"Shetland","Shetland Islands Council","Wind Onshore","Awaiting Construction",NA,0.9,1,"Shetland Islands","S12000027"
"942",8451,"Shetland","Shetland Islands Council","Solar Photovoltaics","Awaiting Construction",NA,0,0,"Shetland Islands","S12000027"
"943",6384,"Shetland","Shetland Islands Council","Wind Onshore","Awaiting Construction",NA,46.8,12,"Shetland Islands","S12000027"
"944",4645,"Strathclyde","South Ayrshire Council","Wind Onshore","Operational",2016-10-28,25,11,"South Ayrshire","S12000028"
"945",4988,"South Ayrshire","South Ayrshire Council","Wind Onshore","Awaiting Construction",NA,24,8,"South Ayrshire","S12000028"
"946",4593,"Strathclyde","South Ayrshire Council","Wind Onshore","Operational",2017-01-15,22,11,"South Ayrshire","S12000028"
"947",4073,"Strathclyde","South Ayrshire Council","Wind Onshore","Operational",2020-06-01,20,8,"South Ayrshire","S12000028"
"948",6138,"South Ayrshire","South Ayrshire Council","Biomass (dedicated)","Operational",2017-03-18,2.6,0,"South Ayrshire","S12000028"
"949",3633,"Strathclyde","South Lanarkshire Council","Wind Onshore","Under Construction",NA,1.6,2,"South Lanarkshire","S12000029"
"950",4055,"Strathclyde","South Lanarkshire Council","Wind Onshore","Operational",2013-03-27,14.3,11,"South Lanarkshire","S12000029"
"951",3688,"Strathclyde","South Lanarkshire Council","Wind Onshore","Operational",2013-09-01,28,14,"South Lanarkshire","S12000029"
"952",3915,"Strathclyde","South Lanarkshire Council","Wind Onshore","Operational",2016-09-15,2.4,3,"South Lanarkshire","S12000029"
"953",726,"Strathclyde","South Lanarkshire Council","Landfill Gas","Operational",2006-01-01,7.4,0,"South Lanarkshire","S12000029"
"954",5414,"South Lanarkshire","South Lanarkshire Council","Wind Onshore","Application Submitted",NA,10.2,3,"South Lanarkshire","S12000029"
"955",4281,"Strathclyde","South Lanarkshire Council","Wind Onshore","Operational",2016-03-17,8.3,3,"South Lanarkshire","S12000029"
"956",8421,"Strathclyde","South Lanarkshire Council","Solar Photovoltaics","Awaiting Construction",NA,0,0,"South Lanarkshire","S12000029"
"957",3453,"Strathclyde","South Lanarkshire Council","Wind Onshore","Operational",2009-07-01,6,3,"South Lanarkshire","S12000029"
"958",4394,"Strathclyde","South Lanarkshire Council","Wind Onshore","Awaiting Construction",NA,11.4,4,"South Lanarkshire","S12000029"
"959",3593,"Strathclyde","South Lanarkshire Council","Wind Onshore","Operational",1995-11-01,7.8,7,"South Lanarkshire","S12000029"
"960",9459,"Strathclyde","South Lanarkshire Council","Wind Onshore","Application Submitted",NA,10.2,3,"South Lanarkshire","S12000029"
"961",7846,"South Lanarkshire","South Lanarkshire Council","Wind Onshore","Under Construction",NA,3,1,"South Lanarkshire","S12000029"
"962",3873,"Strathclyde","South Lanarkshire Council","Wind Onshore","Operational",2014-04-30,6.8,2,"South Lanarkshire","S12000029"
"963",8164,"Strathclyde","South Lanarkshire Council","Wind Onshore","Application Submitted",NA,132,21,"South Lanarkshire","S12000029"
"964",4337,"Strathclyde","South Lanarkshire Council","Wind Onshore","Operational",2017-03-20,36,12,"South Lanarkshire","S12000029"
"965",3868,"Strathclyde","South Lanarkshire Council","Wind Onshore","Awaiting Construction",NA,9,2,"South Lanarkshire","S12000029"
"966",3220,"Strathclyde","South Lanarkshire Council","Wind Onshore","Operational",2008-10-01,26,20,"South Lanarkshire","S12000029"
"967",4683,"Strathclyde","South Lanarkshire Council","Wind Onshore","Operational",2011-01-01,12.3,6,"South Lanarkshire","S12000029"
"968",6173,"South Lanarkshire","South Lanarkshire Council","Wind Onshore","Operational",2016-07-28,2.6,3,"South Lanarkshire","S12000029"
"969",4079,"Strathclyde","South Lanarkshire Council","Wind Onshore","Awaiting Construction",NA,27,9,"South Lanarkshire","S12000029"
"970",4189,"Strathclyde","South Lanarkshire Council","Wind Onshore","Awaiting Construction",NA,45,15,"South Lanarkshire","S12000029"
"971",3667,"Strathclyde","South Lanarkshire Council","Wind Onshore","Operational",2013-02-18,2.2,1,"South Lanarkshire","S12000029"
"972",5306,"South Lanarkshire","South Lanarkshire Council","Wind Onshore","Awaiting Construction",NA,1.5,1,"South Lanarkshire","S12000029"
"973",5876,"South Lanarkshire","South Lanarkshire Council","Wind Onshore","Awaiting Construction",NA,2,1,"South Lanarkshire","S12000029"
"974",3676,"Strathclyde","South Lanarkshire Council","Wind Onshore","Operational",2013-09-30,15,6,"South Lanarkshire","S12000029"
"975",4362,"Strathclyde","South Lanarkshire Council","Wind Onshore","Operational",2015-08-28,29.9,13,"South Lanarkshire","S12000029"
"976",7679,"South Lanarkshire","South Lanarkshire Council","Wind Onshore","Application Submitted",NA,4.2,1,"South Lanarkshire","S12000029"
"977",3810,"Strathclyde","South Lanarkshire Council","Wind Onshore","Operational",2013-12-30,9,3,"South Lanarkshire","S12000029"
"978",4427,"Strathclyde","South Lanarkshire Council","Wind Onshore","Operational",2014-06-30,30,12,"South Lanarkshire","S12000029"
"979",6708,"South Lanarkshire","South Lanarkshire Council","Wind Onshore","Awaiting Construction",NA,40,10,"South Lanarkshire","S12000029"
"980",5174,"Strathclyde","South Lanarkshire Council","Wind Onshore","Application Submitted",NA,10.2,3,"South Lanarkshire","S12000029"
"981",5393,"South Lanarkshire","South Lanarkshire Council","Wind Onshore","Under Construction",NA,49,15,"South Lanarkshire","S12000029"
"982",4355,"Strathclyde","South Lanarkshire Council","Wind Onshore","Awaiting Construction",NA,11.4,4,"South Lanarkshire","S12000029"
"983",4240,"Strathclyde","South Lanarkshire Council","Wind Onshore","Operational",2014-01-15,7.5,3,"South Lanarkshire","S12000029"
"984",6363,"South Lanarkshire","South Lanarkshire Council","Wind Onshore","Awaiting Construction",NA,22.4,7,"South Lanarkshire","S12000029"
"985",6106,"South Lanarkshire","South Lanarkshire Council","Wind Onshore","Operational",2015-08-01,1.5,1,"South Lanarkshire","S12000029"
"986",5455,"South Lanarkshire","South Lanarkshire Council","Wind Onshore","Application Submitted",NA,48,16,"South Lanarkshire","S12000029"
"987",3301,"Strathclyde","South Lanarkshire Council","Wind Onshore","Operational",1995-11-01,7.8,6,"South Lanarkshire","S12000029"
"988",4110,"Strathclyde","South Lanarkshire Council","Wind Onshore","Operational",2016-11-02,36,14,"South Lanarkshire","S12000029"
"989",3201,"Stirling","Stirling Council","Wind Onshore","Operational",2007-02-01,37.5,14,"Stirling","S12000030"
"990",41,"Stirling","Stirling Council","Biomass (dedicated)","Operational",2008-02-01,15,0,"Stirling","S12000030"
"991",6318,"Stirling","Stirling Council","Wind Onshore","Operational",2017-03-31,1.5,1,"Stirling","S12000030"
"992",7785,"Stirling","Stirling Council","Solar Photovoltaics","Awaiting Construction",NA,15,0,"Stirling","S12000030"
"993",7886,"Central","Stirling Council","Wind Onshore","Application Submitted",NA,24,5,"Stirling","S12000030"
"994",9646,"Strathclyde","Stirling Council","Anaerobic Digestion","Application Submitted",NA,0,0,"Stirling","S12000030"
"995",4247,"Stirling","Stirling Council","Wind Onshore","Operational",2016-05-30,22.5,9,"Stirling","S12000030"
"996",3651,"Stirling","Stirling Council","Wind Onshore","Operational",2015-12-15,2.4,3,"Stirling","S12000030"
"997",2940,"Stirling","Stirling Council","Wind Onshore","Operational",2010-03-31,20,8,"Stirling","S12000030"
"998",786,"Strathclyde","West Dunbartonshire Council","Landfill Gas","Operational",2005-11-01,2,0,"West Dunbartonshire","S12000039"
"999",688,"Strathclyde","West Dunbartonshire Council","Landfill Gas","Operational",2002-08-15,2.1,0,"West Dunbartonshire","S12000039"
"1000",5999,"Strathclyde","West Dunbartonshire Council","Anaerobic Digestion","Awaiting Construction",NA,1.6,0,"West Dunbartonshire","S12000039"
"1001",4911,"West Lothian","West Lothian Council","Wind Onshore","Awaiting Construction",NA,1.5,1,"West Lothian","S12000040"
"1002",4199,"Lothian","West Lothian Council","Wind Onshore","Awaiting Construction",NA,20.4,6,"West Lothian","S12000040"
"1003",4263,"Lothian","West Lothian Council","Wind Onshore","Operational",2017-03-17,30.8,15,"West Lothian","S12000040"
"1004",977,"Lothian","West Lothian Council","Advanced Conversion Technologies","Awaiting Construction",NA,5,0,"West Lothian","S12000040"
"1005",3232,"Lothian","West Lothian Council","Wind Onshore","Operational",2010-01-20,14,7,"West Lothian","S12000040"
"1006",6327,"West Lothian","West Lothian Council","Wind Onshore","Awaiting Construction",NA,45.6,8,"West Lothian","S12000040"
"1007",4211,"Lothian","West Lothian Council","Wind Onshore","Operational",2016-12-01,19.2,6,"West Lothian","S12000040"
"1008",4218,"Lothian","West Lothian Council","Wind Onshore","Operational",2017-07-11,8.5,3,"West Lothian","S12000040"
"1009",5200,"West Lothian","West Lothian Council","Advanced Conversion Technologies","Operational",2017-12-15,12.5,0,"West Lothian","S12000040"
"1010",8847,"West Lothian","West Lothian Council","Wind Onshore","Application Submitted",NA,14.4,4,"West Lothian","S12000040"
"1011",6215,"West Lothian","West Lothian Council","Advanced Conversion Technologies","Awaiting Construction",NA,17,0,"West Lothian","S12000040"
"1012",6208,"West Lothian","West Lothian Council","Wind Onshore","Awaiting Construction",NA,5,2,"West Lothian","S12000040"
"1013",5012,"West Lothian","West Lothian Council","Solar Photovoltaics","Operational",2015-10-22,1.3,0,"West Lothian","S12000040"
"1014",7259,"West Lothian","West Lothian Council","Solar Photovoltaics","Awaiting Construction",NA,0.3,0,"West Lothian","S12000040"
"1015",8909,"West Lothian","West Lothian Council","Wind Onshore","Application Submitted",NA,4.3,6,"West Lothian","S12000040"
"1016",8414,"Lothian","West Lothian Council","Solar Photovoltaics","Application Submitted",NA,0,0,"West Lothian","S12000040"
