"Ref"	"LA"	"Site"	"TechType"	"Capacity"	"Status"	"TurbineAmount"
4319	"Aberdeenshire"	"Hill of Tillymorgan extension"	"Wind Onshore"	2.3	"Application Refused"	1
2931	"Aberdeenshire"	"Hillhead of Auquhirie"	"Wind Onshore"	6	"Application Withdrawn"	3
3701	"Aberdeenshire"	"Hillhead of Auquhirie, Resubmission"	"Wind Onshore"	6.9	"Operational"	3
3805	"Aberdeenshire"	"Hillhead of Bonnykelly"	"Wind Onshore"	4.6	"Application Refused"	2
3636	"Aberdeenshire"	"Hillhead of Bonnykelly - resubmission"	"Wind Onshore"	2.3	"Application Refused"	1
3994	"Aberdeenshire"	"Hillhead of Turnerhall"	"Wind Onshore"	3	"Application Refused"	2
3881	"Aberdeenshire"	"Holm and Hollymill Wind Turbines"	"Wind Onshore"	4.6	"Application Refused"	2
2923	"Aberdeenshire"	"House O'Hill"	"Wind Onshore"	5	"Operational"	3
4753	"Aberdeenshire"	"House O’Hill Solar Farm"	"Solar Photovoltaics"	1.6	"Operational"	0
6884	"Aberdeenshire"	"Hywind 2"	"Battery"	1	"Operational"	0
4511	"Aberdeenshire"	"Jacksbank Wind Farm (Glenbervie)"	"Wind Onshore"	6.8	"Operational"	3
3419	"Aberdeenshire"	"Kempstone Hill Wind Turbines"	"Wind Onshore"	2.4	"Application Withdrawn"	3
4114	"Aberdeenshire"	"Kildrummy Windfarm"	"Wind Onshore"	18.4	"Operational"	8
6495	"Aberdeenshire"	"Land at Keihill"	"Biomass (dedicated)"	3	"Application Refused"	0
3802	"Aberdeenshire"	"Land at Overside and Greenwellheads Farms"	"Wind Onshore"	9.2	"Operational"	4
5459	"Aberdeenshire"	"Land South West Of Backfield Farm (Resubmission)"	"Wind Onshore"	2.3	"Application Refused"	1
4987	"Aberdeenshire"	"Land to the north west of Hill of Petty"	"Wind Onshore"	3.6	"Awaiting Construction"	4
3722	"Aberdeenshire"	"Little Byth"	"Wind Onshore"	4.5	"Operational"	3
4212	"Aberdeenshire"	"Lodge Hill"	"Wind Onshore"	6.9	"Application Refused"	3
