"REPD Ref ID","Status","Site Name","Technology","Capacity (MW)","Local Authority","LA Code"
7708,"Application Submitted","Limekiln Wind Farm (Extension)","Wind Onshore",21,"Highland","S12000017"
7729,"Awaiting Construction","Inverness Royal Academy","Solar Photovoltaics",0.3,"Highland","S12000017"
7745,"Awaiting Construction","Howden Farm","Solar Photovoltaics",0.2,"East Lothian","S12000010"
7758,"Awaiting Construction","Hutchesons Grammar School","Solar Photovoltaics",0.2,"Glasgow City","S12000049"
7762,"Awaiting Construction","Netherton","Wind Onshore",0.9,"Aberdeenshire","S12000034"
7763,"Awaiting Construction","Claylands Road","Solar Photovoltaics",0.2,"City of Edinburgh","S12000036"
7785,"Awaiting Construction","Patrickston Farm","Solar Photovoltaics",15,"Stirling","S12000030"
7806,"Awaiting Construction","Banbeath Industrial Estate","Solar Photovoltaics",0.2,"Fife","S12000047"
7807,"Awaiting Construction","Binn Farm","EfW Incineration",7.3,"Perth and Kinross","S12000048"
7846,"Awaiting Construction","West Dykes","Wind Onshore",3,"South Lanarkshire","S12000029"
7851,"Application Submitted","Kilgallioch Windfarm (Extension - Solar)","Solar Photovoltaics",20,"Dumfries and Galloway","S12000006"
7891,"Application Submitted","Mochrum Fell Wind Farm","Wind Onshore",24,"Dumfries and Galloway","S12000006"
7915,"Awaiting Construction","Perth Wastewater Treatment Works (Extension)","Solar Photovoltaics",0.3,"Perth and Kinross","S12000048"
7943,"Awaiting Construction","City of Edinburgh Council Buildings","Solar Photovoltaics",0.2,"City of Edinburgh","S12000036"
7953,"Awaiting Construction","Isle of Luing Wind Farm","Wind Onshore",0.2,"Argyll and Bute","S12000035"
7957,"Awaiting Construction","Hammars Hill Wind Farm Extension","Wind Onshore",8.4,"Orkney Islands","S12000023"
7991,"Awaiting Construction","Brownhill Farm (Resubmission)","Wind Onshore",8.4,"North Lanarkshire","S12000050"
8046,"Awaiting Construction","Lower Rumster","Wind Onshore",0.2,"Highland","S12000017"
8057,"Application Submitted","Meall Buidhe Wind Farm","Wind Onshore",45,"Highland","S12000017"
8086,"Application Submitted","Thainstone Energy Park Project ERF","EfW Incineration",35,"Aberdeenshire","S12000034"
8134,"Awaiting Construction","Land near Tacher, Latheron","Wind Onshore",4.1,"Highland","S12000017"
8138,"Application Submitted","Skelmonae Wind Farm Extension","Wind Onshore",1.6,"Aberdeenshire","S12000034"
8164,"Application Submitted","Cumberhead West Wind Farm","Wind Onshore",132,"South Lanarkshire","S12000029"
8188,"Application Submitted","Gleneagles Hotel Biomass Boiler Plant Room","Biomass (dedicated)",1.4,"Perth and Kinross","S12000048"
8196,"Application Submitted","Forss Wind Farm","Wind Onshore",4.5,"Highland","S12000017"
8205,"Awaiting Construction","Cupar Wastewater Treatment Works Solar Farm","Solar Photovoltaics",0.62,"Fife","S12000047"
8233,"Awaiting Construction","Stracathro Hospital Solar","Solar Photovoltaics",0.25,"Angus","S12000041"
8247,"Application Submitted","Euchanhead Wind Farm","Wind Onshore",126,"Dumfries and Galloway","S12000006"
8263,"Application Submitted","Plascow Wind Turbine","Wind Onshore",NA,"Dumfries and Galloway","S12000006"
